DATE_WEEK_START,VOLUME,ARIMA,ESM,MVG AVG,RAND,ARIMA,ESM,MVG AVG,RAND,ARIMA,ESM,MVG AVG,RAND,
02-08-2020,4085,4601.314089,4563.260326,4141.320666,4615,-516.3140885,-478.260326,-56.3206659,-530,0.126392678,0.117077191,0.013787189,0.129742962,
09-08-2020,4091,4486.023515,4428.48162,3910.707075,4339,-395.0235145,-337.4816204,180.2929255,-248,0.096559158,0.082493674,0.044070625,0.060620875,
16-08-2020,3950,4409.88517,4261.018423,3008.353518,4161,-459.8851701,-311.0184225,941.646482,-211,0.116426625,0.078738841,0.238391514,0.053417722,
23-08-2020,4166,4378.558559,4571.075126,2157.547235,4104,-212.5585594,-405.0751255,2008.452765,62,0.051022218,0.097233587,0.4821058,0.014882381,
30-08-2020,4096,4240.621596,3967.582732,643.6078083,3713,-144.6215962,128.4172682,3452.392192,383,0.035308007,0.031351872,0.842869187,0.093505859,
06-09-2020,3239,4322.858729,4256.808888,105.066945,3982,-1083.858729,-1017.808888,3133.933055,-743,0.334627579,0.314235532,0.967561919,0.229391788,
13-09-2020,4044,4422.415484,3766.03928,-194.0183695,4298,-378.4154835,277.9607205,4238.01837,-254,0.093574551,0.068734105,1.047976847,0.0628091,
20-09-2020,3972,4180.663548,3608.224564,0,3575,-208.6635477,363.7754358,3972,397,0.052533622,0.091584954,1,0.099949648,
27-09-2020,3448,4171.670327,3672.278892,0,3555,-723.6703269,-224.2788924,3448,-107,0.209881185,0.065046082,1,0.031032483,
04-10-2020,3497,4178.850911,3574.090185,0,3582,-681.8509109,-77.0901852,3497,-85,0.194981673,0.022044663,1,0.024306548,
11-10-2020,3291,3963.930984,3491.972156,0,2934,-672.9309835,-200.9721557,3291,357,0.204476142,0.0610672,1,0.108477666,
18-10-2020,3309,4060.319936,3436.355651,0,3229,-751.319936,-127.3556509,3309,80,0.227053471,0.038487655,1,0.024176488,
25-10-2020,3244,3895.792136,3005.336535,0,2732,-651.7921364,238.6634647,3244,512,0.20092236,0.073570735,1,0.15782984,
01-11-2020,3488,3904.896127,3147.283369,0,2761,-416.8961266,340.7166311,3488,727,0.119522972,0.09768252,1,0.208428899,
08-11-2020,3657,3741.666706,3126.41163,0,2267,-84.6667061,530.5883705,3657,1390,0.023151957,0.145088425,1,0.380092972,
15-11-2020,3349,4040.189203,2395.344268,0,3173,-691.1892026,953.655732,3349,176,0.206386743,0.284758355,1,0.052553001,
22-11-2020,2219,3599.794121,3170.197098,0,1838,-1380.794121,-951.1970978,2219,381,0.622259631,0.428660251,1,0.171698963,
29-11-2020,864,4067.596311,3057.029269,0,3257,-3203.596311,-2193.029269,864,-2393,3.7078661,2.53822832,1,2.769675926,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,RMSE,980.952158,709.3229785,2974.725497,748.6845501,37%,26%,81%,26%,MAPE
,,,,,,,,,,63%,74%,19%,74%,Accuracy
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,RMSE,Accuracy(MAPE),,,,,
,,,,,,,ARIMA,626,78%,,,,,
,,,,,,,Holts Winter,709,74%,,,,,
,,,,,,,Random,749,74%,,,,,
,,,,,,,Moving Average,2975,19%,,,,,
