DATE_WEEK_START,VOLUME,ARIMA,ESM,MVG AVG,RAND,ARIMA,ESM,MVG AVG,RAND,ARIMA,ESM,MVG AVG,RAND
02-08-2020,4085,4605.762814,4563.260326,4141.320666,4615,-520.7628141,-478.260326,-56.3206659,-530,0.127481717,0.117077191,0.013787189,0.129742962
09-08-2020,4091,4084.710146,4428.48162,3910.707075,4339,6.2898537,-337.4816204,180.2929255,-248,0.001537486,0.082493674,0.044070625,0.060620875
16-08-2020,3950,4089.294187,4261.018423,3008.353518,4161,-139.2941873,-311.0184225,941.646482,-211,0.035264351,0.078738841,0.238391514,0.053417722
23-08-2020,4166,3981.569222,4571.075126,2157.547235,4104,184.4307777,-405.0751255,2008.452765,62,0.04427047,0.097233587,0.4821058,0.014882381
30-08-2020,4096,4146.594701,3967.582732,643.6078083,3713,-50.5947007,128.4172682,3452.392192,383,0.012352222,0.031351872,0.842869187,0.093505859
06-09-2020,3239,4093.114222,4256.808888,105.066945,3982,-854.1142216,-1017.808888,3133.933055,-743,0.263696888,0.314235532,0.967561919,0.229391788
13-09-2020,4044,3438.360356,3766.03928,-194.0183695,4298,605.639644,277.9607205,4238.01837,-254,0.149762523,0.068734105,1.047976847,0.0628091
20-09-2020,3972,4053.385866,3608.224564,0,3575,-81.3858657,363.7754358,3972,397,0.020489896,0.091584954,1,0.099949648
27-09-2020,3448,3998.377373,3672.278892,0,3555,-550.3773729,-224.2788924,3448,-107,0.159622208,0.065046082,1,0.031032483
04-10-2020,3497,3598.037786,3574.090185,0,3582,-101.0377864,-77.0901852,3497,-85,0.028892704,0.022044663,1,0.024306548
11-10-2020,3291,3635.474122,3491.972156,0,2934,-344.4741218,-200.9721557,3291,357,0.104671565,0.0610672,1,0.108477666
18-10-2020,3309,3478.088712,3436.355651,0,3229,-169.0887119,-127.3556509,3309,80,0.051099641,0.038487655,1,0.024176488
25-10-2020,3244,3491.840835,3005.336535,0,2732,-247.8408351,238.6634647,3244,512,0.076399764,0.073570735,1,0.15782984
01-11-2020,3488,3442.18039,3147.283369,0,2761,45.8196098,340.7166311,3488,727,0.013136356,0.09768252,1,0.208428899
08-11-2020,3657,3628.59806,3126.41163,0,2267,28.4019398,530.5883705,3657,1390,0.007766459,0.145088425,1,0.380092972
15-11-2020,3349,3757.715217,2395.344268,0,3173,-408.7152169,953.655732,3349,176,0.122040972,0.284758355,1,0.052553001
22-11-2020,2219,3522.401109,3170.197098,0,1838,-1303.401109,-951.1970978,2219,381,0.587382203,0.428660251,1,0.171698963
29-11-2020,864,2659.073375,3057.029269,0,3257,-1795.073375,-2193.029269,864,-2393,2.077631221,2.53822832,1,2.769675926
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,MAPE,22%,26%,81%,26%
,,,,,,,,,Accuracy,78%,74%,19%,74%
