DATE_WEEK_START,VOLUME,FORECAST,STD,L95,U95,RESIDUAL
2014-12-28,1426,4083.7717707,1008.7710105,2106.6169214,6060.9266199,-2657.771771
2015-01-04,4028,2053.2159472,650.86726571,777.53954767,3328.8923467,1974.7840528
2015-01-11,4020,4041.1617562,650.86726571,2765.4853566,5316.8381557,-21.16175616
2015-01-18,2741,4035.0497014,650.86726571,2759.3733019,5310.7261009,-1294.049701
2015-01-25,2981,3057.8849475,650.86726571,1782.208548,4333.561347,-76.88494749
2015-02-01,4387,3241.2465901,650.86726571,1965.5701906,4516.9229896,1145.7534099
2015-02-08,3282,4315.4402133,650.86726571,3039.7638138,5591.1166128,-1033.440213
2015-02-15,2196,3471.2126503,650.86726571,2195.5362508,4746.8890498,-1275.21265
2015-02-22,3074,2641.5012173,650.86726571,1365.8248178,3917.1776168,432.49878268
2015-03-01,3439,3312.2992267,650.86726571,2036.6228271,4587.9756262,126.70077335
2015-03-08,3668,3591.1617248,650.86726571,2315.4853253,4866.8381243,76.838275161
2015-03-15,3700,3766.1192922,650.86726571,2490.4428927,5041.7956917,-66.11929219
2015-03-22,3684,3790.5675112,650.86726571,2514.8911117,5066.2439107,-106.5675112
2015-03-29,3789,3778.3434017,650.86726571,2502.6670022,5054.0198012,10.656598298
2015-04-05,5907,3858.5641204,650.86726571,2582.8877208,5134.2405199,2048.4358796
2015-04-12,5018,5476.7306167,650.86726571,4201.0542172,6752.4070162,-458.7306167
2015-04-19,4172,4797.5285321,650.86726571,3521.8521325,6073.2049316,-625.5285321
2015-04-26,4179,4151.1787417,650.86726571,2875.5023422,5426.8551413,27.821258258
2015-05-03,4946,4156.5267897,650.86726571,2880.8503901,5432.2031892,789.47321035
2015-05-10,4284,4742.5200393,650.86726571,3466.8436398,6018.1964388,-458.5200393
2015-05-17,4669,4236.7475083,650.86726571,2961.0711088,5512.4239078,432.25249169
2015-05-24,4468,4530.8901434,650.86726571,3255.2137439,5806.5665429,-62.89014338
2015-05-31,5068,4377.3247677,650.86726571,3101.6483682,5653.0011672,690.67523233
2015-06-07,5114,4835.7288743,650.86726571,3560.0524748,6111.4052738,278.27112573
2015-06-14,5097,4870.8731891,650.86726571,3595.1967896,6146.5495886,226.12681089
2015-06-21,5982,4857.8850728,650.86726571,3582.2086732,6133.5614723,1124.1149272
2015-06-28,4398,5534.03113,650.86726571,4258.3547305,6809.7075295,-1136.03113
2015-07-05,4902,4323.8442886,650.86726571,3048.1678891,5599.5206881,578.15571144
