DATE_WEEK_START,VOLUME
"Sun, 28 Dec 2014",1426
"Sun, 4 Jan 2015",4028
"Sun, 11 Jan 2015",4020
"Sun, 18 Jan 2015",2741
"Sun, 25 Jan 2015",2981
"Sun, 1 Feb 2015",4387
"Sun, 8 Feb 2015",3282
"Sun, 15 Feb 2015",2196
"Sun, 22 Feb 2015",3074
"Sun, 1 Mar 2015",3439
"Sun, 8 Mar 2015",3668
"Sun, 15 Mar 2015",3700
"Sun, 22 Mar 2015",3684
"Sun, 29 Mar 2015",3789
"Sun, 5 Apr 2015",5907
"Sun, 12 Apr 2015",5018
"Sun, 19 Apr 2015",4172
"Sun, 26 Apr 2015",4179
"Sun, 3 May 2015",4946
"Sun, 10 May 2015",4284
"Sun, 17 May 2015",4669
"Sun, 24 May 2015",4468
"Sun, 31 May 2015",5068
"Sun, 7 Jun 2015",5114
"Sun, 14 Jun 2015",5097
"Sun, 21 Jun 2015",5982
"Sun, 28 Jun 2015",4398
"Sun, 5 Jul 2015",4902
"Sun, 12 Jul 2015",5295
"Sun, 19 Jul 2015",4708
"Sun, 26 Jul 2015",5029
"Sun, 2 Aug 2015",5419
"Sun, 9 Aug 2015",5092
"Sun, 16 Aug 2015",4901
"Sun, 23 Aug 2015",4334
"Sun, 30 Aug 2015",5429
"Sun, 6 Sep 2015",4166
"Sun, 13 Sep 2015",4532
"Sun, 20 Sep 2015",3069
"Sun, 27 Sep 2015",3876
"Sun, 4 Oct 2015",3737
"Sun, 11 Oct 2015",3710
"Sun, 18 Oct 2015",3623
"Sun, 25 Oct 2015",3283
"Sun, 1 Nov 2015",3311
"Sun, 8 Nov 2015",3330
"Sun, 15 Nov 2015",3583
"Sun, 22 Nov 2015",2378
"Sun, 29 Nov 2015",3574
"Sun, 6 Dec 2015",3229
"Sun, 13 Dec 2015",3147
"Sun, 20 Dec 2015",2120
"Sun, 27 Dec 2015",5659
"Sun, 3 Jan 2016",6584
"Sun, 10 Jan 2016",4032
"Sun, 17 Jan 2016",3295
"Sun, 24 Jan 2016",3406
"Sun, 31 Jan 2016",3340
"Sun, 7 Feb 2016",2961
"Sun, 14 Feb 2016",3279
"Sun, 21 Feb 2016",3558
"Sun, 28 Feb 2016",3243
"Sun, 6 Mar 2016",3600
"Sun, 13 Mar 2016",3309
"Sun, 20 Mar 2016",3421
"Sun, 27 Mar 2016",4256
"Sun, 3 Apr 2016",3985
"Sun, 10 Apr 2016",3049
"Sun, 17 Apr 2016",2782
"Sun, 24 Apr 2016",3874
"Sun, 1 May 2016",4584
"Sun, 8 May 2016",4456
"Sun, 15 May 2016",4623
"Sun, 22 May 2016",4913
"Sun, 29 May 2016",4647
"Sun, 5 Jun 2016",5328
"Sun, 12 Jun 2016",4891
"Sun, 19 Jun 2016",4702
"Sun, 26 Jun 2016",4837
"Sun, 3 Jul 2016",4163
"Sun, 10 Jul 2016",4676
"Sun, 17 Jul 2016",4725
"Sun, 24 Jul 2016",4627
"Sun, 31 Jul 2016",4749
"Sun, 7 Aug 2016",5022
"Sun, 14 Aug 2016",4892
"Sun, 21 Aug 2016",4618
"Sun, 28 Aug 2016",5238
"Sun, 4 Sep 2016",4785
"Sun, 11 Sep 2016",4736
"Sun, 18 Sep 2016",4327
"Sun, 25 Sep 2016",4185
"Sun, 2 Oct 2016",4417
"Sun, 9 Oct 2016",4305
"Sun, 16 Oct 2016",4455
"Sun, 23 Oct 2016",4535
"Sun, 30 Oct 2016",4131
"Sun, 6 Nov 2016",3866
"Sun, 13 Nov 2016",4145
"Sun, 20 Nov 2016",2655
"Sun, 27 Nov 2016",4168
"Sun, 4 Dec 2016",3035
"Sun, 11 Dec 2016",3753
"Sun, 18 Dec 2016",4815
"Sun, 25 Dec 2016",3533
"Sun, 1 Jan 2017",4541
"Sun, 8 Jan 2017",4100
"Sun, 15 Jan 2017",3755
"Sun, 22 Jan 2017",3983
"Sun, 29 Jan 2017",3169
"Sun, 5 Feb 2017",3282
"Sun, 12 Feb 2017",3047
"Sun, 19 Feb 2017",3517
"Sun, 26 Feb 2017",3704
"Sun, 5 Mar 2017",4034
"Sun, 12 Mar 2017",3936
"Sun, 19 Mar 2017",4115
"Sun, 26 Mar 2017",4397
"Sun, 2 Apr 2017",5050
"Sun, 9 Apr 2017",4703
"Sun, 16 Apr 2017",4394
"Sun, 23 Apr 2017",5013
"Sun, 30 Apr 2017",5400
"Sun, 7 May 2017",4773
"Sun, 14 May 2017",5233
"Sun, 21 May 2017",5120
"Sun, 28 May 2017",4576
"Sun, 4 Jun 2017",5512
"Sun, 11 Jun 2017",5306
"Sun, 18 Jun 2017",5544
"Sun, 25 Jun 2017",5921
"Sun, 2 Jul 2017",4625
"Sun, 9 Jul 2017",5939
"Sun, 16 Jul 2017",5839
"Sun, 23 Jul 2017",5753
"Sun, 30 Jul 2017",5534
"Sun, 6 Aug 2017",5444
"Sun, 13 Aug 2017",5371
"Sun, 20 Aug 2017",5218
"Sun, 27 Aug 2017",5205
"Sun, 3 Sep 2017",4358
"Sun, 10 Sep 2017",5087
"Sun, 17 Sep 2017",4980
"Sun, 24 Sep 2017",4604
"Sun, 1 Oct 2017",4600
"Sun, 8 Oct 2017",4271
"Sun, 15 Oct 2017",4136
"Sun, 22 Oct 2017",3757
"Sun, 29 Oct 2017",2321
"Sun, 5 Nov 2017",3317
"Sun, 12 Nov 2017",3479
"Sun, 19 Nov 2017",2340
"Sun, 26 Nov 2017",3670
"Sun, 3 Dec 2017",3441
"Sun, 10 Dec 2017",2332
"Sun, 17 Dec 2017",2009
"Sun, 24 Dec 2017",2089
"Sun, 31 Dec 2017",3639
"Sun, 7 Jan 2018",3635
"Sun, 14 Jan 2018",2673
"Sun, 21 Jan 2018",3911
"Sun, 28 Jan 2018",3284
