DATE_WEEK_START,VOLUME,FORECAST,STD,L95,U95,RESIDUAL
2014-12-28,1426,0,930.45567924,-1823.659621,1823.6596205,1426
2015-01-04,4028,1685.9142418,930.45567924,-137.7453787,3509.5738624,2342.0857582
2015-01-11,4020,4562.0451416,930.45567924,2738.3855211,6385.7047621,-542.0451416
2015-01-18,2741,4166.6976229,930.45567924,2343.0380024,5990.3572435,-1425.697623
2015-01-25,2981,2362.0620656,930.45567924,538.40244509,4185.7216861,618.9379344
2015-02-01,4387,2465.668362,930.45567924,642.00874148,4289.3279825,1921.331638
2015-02-08,3282,4019.2190297,930.45567924,2195.5594092,5842.8786502,-737.2190297
2015-02-15,2196,2342.061583,930.45567924,518.40196249,4165.7212035,-146.061583
2015-02-22,3074,1170.9621834,930.45567924,-652.6974371,2994.6218039,1903.0378166
2015-03-01,3439,2773.1010481,930.45567924,949.44142758,4596.7606686,665.89895191
2015-03-08,3668,4020.6394209,930.45567924,2196.9798004,5844.2990414,-352.6394209
2015-03-15,3700,3574.9993105,930.45567924,1751.33969,5398.6589311,125.00068946
2015-03-22,3684,2874.3301328,930.45567924,1050.6705123,4697.9897533,809.66986717
2015-03-29,3789,3032.531676,930.45567924,1208.8720555,4856.1912966,756.46832396
2015-04-05,5907,3658.8627289,930.45567924,1835.2031084,5482.5223494,2248.1372711
2015-04-12,5018,5661.4706308,930.45567924,3837.8110103,7485.1302513,-643.4706308
2015-04-19,4172,4141.620641,930.45567924,2317.9610205,5965.2802615,30.37935898
2015-04-26,4179,3847.5976034,930.45567924,2023.9379829,5671.2572239,331.40239662
2015-05-03,4946,3639.7202284,930.45567924,1816.0606079,5463.379849,1306.2797716
2015-05-10,4284,4453.9760681,930.45567924,2630.3164476,6277.6356886,-169.9760681
2015-05-17,4669,3134.7277435,930.45567924,1311.068123,4958.3873641,1534.2722565
2015-05-24,4468,4144.8599931,930.45567924,2321.2003726,5968.5196136,323.14000692
2015-05-31,5068,3736.3221433,930.45567924,1912.6625228,5559.9817638,1331.6778567
2015-06-07,5114,5400.1443068,930.45567924,3576.4846863,7223.8039273,-286.1443068
2015-06-14,5097,4437.839738,930.45567924,2614.1801175,6261.4993585,659.16026198
2015-06-21,5982,4530.7849866,930.45567924,2707.1253661,6354.4446071,1451.2150134
2015-06-28,4398,5095.8348083,930.45567924,3272.1751877,6919.4944288,-697.8348083
2015-07-05,4902,3747.623541,930.45567924,1923.9639204,5571.2831615,1154.376459
2015-07-12,5295,3930.8858056,930.45567924,2107.2261851,5754.5454261,1364.1141944
2015-07-19,4708,4857.5802543,930.45567924,3033.9206338,6681.2398749,-149.5802543
2015-07-26,5029,4105.1631716,930.45567924,2281.5035511,5928.8227921,923.83682839
2015-08-02,5419,4599.6173699,930.45567924,2775.9577494,6423.2769904,819.38263011
2015-08-09,5092,4808.9493342,930.45567924,2985.2897136,6632.6089547,283.05066584
2015-08-16,4901,4373.9318073,930.45567924,2550.2721868,6197.5914278,527.06819267
2015-08-23,4334,4397.6693137,930.45567924,2574.0096932,6221.3289342,-63.66931368
2015-08-30,5429,3308.8433175,930.45567924,1485.183697,5132.502938,2120.1566825
2015-09-06,4166,4903.7580907,930.45567924,3080.0984702,6727.4177112,-737.7580907
2015-09-13,4532,3568.4938024,930.45567924,1744.8341819,5392.1534229,963.50619757
2015-09-20,3069,3978.975437,930.45567924,2155.3158165,5802.6350575,-909.975437
2015-09-27,3876,2074.6975152,930.45567924,251.0378947,3898.3571357,1801.3024848
2015-10-04,3737,3757.8849033,930.45567924,1934.2252828,5581.5445238,-20.88490329
2015-10-11,3710,2894.9650937,930.45567924,1071.3054732,4718.6247143,815.03490626
2015-10-18,3623,3533.6376495,930.45567924,1709.978029,5357.2972701,89.362350454
2015-10-25,3283,2659.9232394,930.45567924,836.26361891,4483.5828599,623.07676058
2015-11-01,3311,3500.6163567,930.45567924,1676.9567362,5324.2759773,-189.6163567
2015-11-08,3330,2537.6863372,930.45567924,714.02671664,4361.3459577,792.31366285
2015-11-15,3583,3157.3600288,930.45567924,1333.7004083,4981.0196493,425.63997121
2015-11-22,2378,2647.8760412,930.45567924,824.21642065,4471.5356617,-269.8760412
2015-11-29,3574,2062.4516924,930.45567924,238.79207187,3886.1113129,1511.5483076
2015-12-06,3229,3212.2817466,930.45567924,1388.6221261,5035.9413671,16.718253396
2015-12-13,3147,3003.1533569,930.45567924,1179.4937363,4826.8129774,143.84664314
2015-12-20,2120,2785.3745418,930.45567924,961.71492133,4609.0341624,-665.3745418
2015-12-27,5659,1516.6327642,930.45567924,-307.0268563,3340.2923847,4142.3672358
2016-01-03,6584,5823.0348294,930.45567924,3999.3752088,7646.6944499,760.96517065
2016-01-10,4032,6397.4226906,930.45567924,4573.7630701,8221.0823111,-2365.422691
2016-01-17,3295,3543.7988411,930.45567924,1720.1392206,5367.4584616,-248.7988411
2016-01-24,3406,1989.9277861,930.45567924,166.26816561,3813.5874066,1416.0722139
2016-01-31,3340,3077.7984109,930.45567924,1254.1387904,4901.4580314,262.20158914
2016-02-07,2961,2484.5932002,930.45567924,660.93357964,4308.2528207,476.40679984
2016-02-14,3279,2135.7611228,930.45567924,312.10150225,3959.4207433,1143.2388772
2016-02-21,3558,2302.0602694,930.45567924,478.4006489,4125.7198899,1255.9397306
2016-02-28,3243,4232.5735629,930.45567924,2408.9139424,6056.2331834,-989.5735629
2016-03-06,3600,3647.1314862,930.45567924,1823.4718657,5470.7911067,-47.1314862
2016-03-13,3309,2917.1704351,930.45567924,1093.5108146,4740.8300556,391.82956491
2016-03-20,3421,2220.152004,930.45567924,396.49238351,4043.8116245,1200.847996
2016-03-27,4256,3006.5256699,930.45567924,1182.8660494,4830.1852904,1249.4743301
2016-04-03,3985,3750.0708196,930.45567924,1926.4111991,5573.7304401,234.92918038
2016-04-10,3049,3611.6059007,930.45567924,1787.9462802,5435.2655212,-562.6059007
2016-04-17,2782,2658.7551912,930.45567924,835.09557073,4482.4148118,123.24480876
2016-04-24,3874,2725.5204663,930.45567924,901.8608458,4549.1800868,1148.4795337
2016-05-01,4584,3368.9964934,930.45567924,1545.3368729,5192.6561139,1215.0035066
2016-05-08,4456,3987.6874092,930.45567924,2164.0277887,5811.3470297,468.31259083
2016-05-15,4623,3792.4017724,930.45567924,1968.7421518,5616.0613929,830.59822764
2016-05-22,4913,4322.4188233,930.45567924,2498.7592028,6146.0784438,590.5811767
2016-05-29,4647,4846.9421259,930.45567924,3023.2825054,6670.6017464,-199.9421259
2016-06-05,5328,4277.3025333,930.45567924,2453.6429128,6100.9621538,1050.6974667
2016-06-12,4891,4539.1082497,930.45567924,2715.4486292,6362.7678702,351.89175028
2016-06-19,4702,3844.4966287,930.45567924,2020.8370082,5668.1562492,857.5033713
2016-06-26,4837,3987.0868693,930.45567924,2163.4272488,5810.7464898,849.91313068
2016-07-03,4163,4309.1982236,930.45567924,2485.5386031,6132.8578442,-146.1982236
2016-07-10,4676,3614.9837598,930.45567924,1791.3241393,5438.6433803,1061.0162402
