DATE_WEEK_START,VOLUME,FORECAST,STD,L95,U95,RESIDUAL
2014-12-28,1426,,,,,
2015-01-04,4028,,,,,
2015-01-11,4020,,,,,
2015-01-18,2741,,,,,
2015-01-25,2981,,,,,
2015-02-01,4387,,,,,
2015-02-08,3282,,,,,
2015-02-15,2196,,,,,
2015-02-22,3074,,,,,
2015-03-01,3439,,,,,
2015-03-08,3668,,,,,
2015-03-15,3700,,,,,
2015-03-22,3684,,,,,
2015-03-29,3789,,,,,
2015-04-05,5907,,,,,
2015-04-12,5018,,,,,
2015-04-19,4172,,,,,
2015-04-26,4179,,,,,
2015-05-03,4946,,,,,
2015-05-10,4284,,,,,
2015-05-17,4669,,,,,
2015-05-24,4468,,,,,
2015-05-31,5068,,,,,
2015-06-07,5114,,,,,
2015-06-14,5097,,,,,
2015-06-21,5982,,,,,
2015-06-28,4398,,,,,
2015-07-05,4902,,,,,
2015-07-12,5295,,,,,
2015-07-19,4708,,,,,
2015-07-26,5029,,,,,
2015-08-02,5419,,,,,
2015-08-09,5092,,,,,
2015-08-16,4901,,,,,
2015-08-23,4334,,,,,
2015-08-30,5429,,,,,
2015-09-06,4166,,,,,
2015-09-13,4532,,,,,
2015-09-20,3069,,,,,
2015-09-27,3876,,,,,
2015-10-04,3737,,,,,
2015-10-11,3710,,,,,
2015-10-18,3623,,,,,
2015-10-25,3283,,,,,
2015-11-01,3311,,,,,
2015-11-08,3330,,,,,
2015-11-15,3583,,,,,
2015-11-22,2378,,,,,
2015-11-29,3574,,,,,
2015-12-06,3229,,,,,
2015-12-13,3147,,,,,
2015-12-20,2120,,,,,
2015-12-27,5659,,,,,
2016-01-03,6584,8261,800.56925272,6691.9130975,9830.0869025,-1677
2016-01-10,4032,6576,800.56925272,5006.9130975,8145.0869025,-2544
2016-01-17,3295,2753,800.56925272,1183.9130975,4322.0869025,542
2016-01-24,3406,3535,800.56925272,1965.9130975,5104.0869025,-129
2016-01-31,3340,4812,800.56925272,3242.9130975,6381.0869025,-1472
2016-02-07,2961,2235,800.56925272,665.91309753,3804.0869025,726
2016-02-14,3279,1875,800.56925272,305.91309753,3444.0869025,1404
2016-02-21,3558,4157,800.56925272,2587.9130975,5726.0869025,-599
2016-02-28,3243,3923,800.56925272,2353.9130975,5492.0869025,-680
2016-03-06,3600,3472,800.56925272,1902.9130975,5041.0869025,128
2016-03-13,3309,3632,800.56925272,2062.9130975,5201.0869025,-323
2016-03-20,3421,3293,800.56925272,1723.9130975,4862.0869025,128
2016-03-27,4256,3526,800.56925272,1956.9130975,5095.0869025,730
2016-04-03,3985,6374,800.56925272,4804.9130975,7943.0869025,-2389
2016-04-10,3049,3096,800.56925272,1526.9130975,4665.0869025,-47
2016-04-17,2782,2203,800.56925272,633.91309753,3772.0869025,579
2016-04-24,3874,2789,800.56925272,1219.9130975,4358.0869025,1085
2016-05-01,4584,4641,800.56925272,3071.9130975,6210.0869025,-57
2016-05-08,4456,3922,800.56925272,2352.9130975,5491.0869025,534
2016-05-15,4623,4841,800.56925272,3271.9130975,6410.0869025,-218
2016-05-22,4913,4422,800.56925272,2852.9130975,5991.0869025,491
2016-05-29,4647,5513,800.56925272,3943.9130975,7082.0869025,-866
2016-06-05,5328,4693,800.56925272,3123.9130975,6262.0869025,635
2016-06-12,4891,5311,800.56925272,3741.9130975,6880.0869025,-420
2016-06-19,4702,5776,800.56925272,4206.9130975,7345.0869025,-1074
2016-06-26,4837,3118,800.56925272,1548.9130975,4687.0869025,1719
2016-07-03,4163,5341,800.56925272,3771.9130975,6910.0869025,-1178
2016-07-10,4676,4556,800.56925272,2986.9130975,6125.0869025,120
2016-07-17,4725,4089,800.56925272,2519.9130975,5658.0869025,636
2016-07-24,4627,5046,800.56925272,3476.9130975,6615.0869025,-419
2016-07-31,4749,5017,800.56925272,3447.9130975,6586.0869025,-268
2016-08-07,5022,4422,800.56925272,2852.9130975,5991.0869025,600
2016-08-14,4892,4831,800.56925272,3261.9130975,6400.0869025,61
2016-08-21,4618,4325,800.56925272,2755.9130975,5894.0869025,293
2016-08-28,5238,5713,800.56925272,4143.9130975,7282.0869025,-475
2016-09-04,4785,3975,800.56925272,2405.9130975,5544.0869025,810
2016-09-11,4736,5151,800.56925272,3581.9130975,6720.0869025,-415
2016-09-18,4327,3273,800.56925272,1703.9130975,4842.0869025,1054
2016-09-25,4185,5134,800.56925272,3564.9130975,6703.0869025,-949
2016-10-02,4417,4046,800.56925272,2476.9130975,5615.0869025,371
2016-10-09,4305,4390,800.56925272,2820.9130975,5959.0869025,-85
2016-10-16,4455,4218,800.56925272,2648.9130975,5787.0869025,237
2016-10-23,4535,4115,800.56925272,2545.9130975,5684.0869025,420
2016-10-30,4131,4563,800.56925272,2993.9130975,6132.0869025,-432
2016-11-06,3866,4150,800.56925272,2580.9130975,5719.0869025,-284
2016-11-13,4145,4119,800.56925272,2549.9130975,5688.0869025,26
2016-11-20,2655,2940,800.56925272,1370.9130975,4509.0869025,-285
2016-11-27,4168,3851,800.56925272,2281.9130975,5420.0869025,317
2016-12-04,3035,3823,800.56925272,2253.9130975,5392.0869025,-788
2016-12-11,3753,2953,800.56925272,1383.9130975,4522.0869025,800
2016-12-18,4815,2726,800.56925272,1156.9130975,4295.0869025,2089
2016-12-25,3533,8354,800.56925272,6784.9130975,9923.0869025,-4821
2017-01-01,4541,4458,800.56925272,2888.9130975,6027.0869025,83
2017-01-08,4100,1989,800.56925272,419.91309753,3558.0869025,2111
2017-01-15,3755,3363,800.56925272,1793.9130975,4932.0869025,392
2017-01-22,3983,3866,800.56925272,2296.9130975,5435.0869025,117
2017-01-29,3169,3917,800.56925272,2347.9130975,5486.0869025,-748
2017-02-05,3282,2790,800.56925272,1220.9130975,4359.0869025,492
2017-02-12,3047,3600,800.56925272,2030.9130975,5169.0869025,-553
2017-02-19,3517,3326,800.56925272,1756.9130975,4895.0869025,191
2017-02-26,3704,3202,800.56925272,1632.9130975,4771.0869025,502
2017-03-05,4034,4061,800.56925272,2491.9130975,5630.0869025,-27
2017-03-12,3936,3743,800.56925272,2173.9130975,5312.0869025,193
2017-03-19,4115,4048,800.56925272,2478.9130975,5617.0869025,67
2017-03-26,4397,4950,800.56925272,3380.9130975,6519.0869025,-553
2017-04-02,5050,4126,800.56925272,2556.9130975,5695.0869025,924
2017-04-09,4703,4114,800.56925272,2544.9130975,5683.0869025,589
2017-04-16,4394,4436,800.56925272,2866.9130975,6005.0869025,-42
2017-04-23,5013,5486,800.56925272,3916.9130975,7055.0869025,-473
2017-04-30,5400,5723,800.56925272,4153.9130975,7292.0869025,-323
2017-05-07,4773,5272,800.56925272,3702.9130975,6841.0869025,-499
2017-05-14,5233,4940,800.56925272,3370.9130975,6509.0869025,293
2017-05-21,5120,5523,800.56925272,3953.9130975,7092.0869025,-403
2017-05-28,4576,4854,800.56925272,3284.9130975,6423.0869025,-278
2017-06-04,5512,5257,800.56925272,3687.9130975,6826.0869025,255
2017-06-11,5306,5075,800.56925272,3505.9130975,6644.0869025,231
2017-06-18,5544,5117,800.56925272,3547.9130975,6686.0869025,427
2017-06-25,5921,5679,800.56925272,4109.9130975,7248.0869025,242
2017-07-02,4625,5247,800.56925272,3677.9130975,6816.0869025,-622
2017-07-09,5939,5138,800.56925272,3568.9130975,6707.0869025,801
2017-07-16,5839,5988,800.56925272,4418.9130975,7557.0869025,-149
2017-07-23,5753,5741,800.56925272,4171.9130975,7310.0869025,12
2017-07-30,5534,5875,800.56925272,4305.9130975,7444.0869025,-341
2017-08-06,5444,5807,800.56925272,4237.9130975,7376.0869025,-363
2017-08-13,5371,5314,800.56925272,3744.9130975,6883.0869025,57
2017-08-20,5218,5097,800.56925272,3527.9130975,6666.0869025,121
2017-08-27,5205,5838,800.56925272,4268.9130975,7407.0869025,-633
2017-09-03,4358,4752,800.56925272,3182.9130975,6321.0869025,-394
2017-09-10,5087,4309,800.56925272,2739.9130975,5878.0869025,778
2017-09-17,4980,4678,800.56925272,3108.9130975,6247.0869025,302
2017-09-24,4604,4838,800.56925272,3268.9130975,6407.0869025,-234
2017-10-01,4600,4836,800.56925272,3266.9130975,6405.0869025,-236
2017-10-08,4271,4488,800.56925272,2918.9130975,6057.0869025,-217
2017-10-15,4136,4421,800.56925272,2851.9130975,5990.0869025,-285
2017-10-22,3757,4216,800.56925272,2646.9130975,5785.0869025,-459
2017-10-29,2321,3353,800.56925272,1783.9130975,4922.0869025,-1032
2017-11-05,3317,2056,800.56925272,486.91309753,3625.0869025,1261
2017-11-12,3479,3596,800.56925272,2026.9130975,5165.0869025,-117
2017-11-19,2340,1989,800.56925272,419.91309753,3558.0869025,351
2017-11-26,3670,3853,800.56925272,2283.9130975,5422.0869025,-183
2017-12-03,3441,2537,800.56925272,967.91309753,4106.0869025,904
2017-12-10,2332,4159,800.56925272,2589.9130975,5728.0869025,-1827
2017-12-17,2009,3394,800.56925272,1824.9130975,4963.0869025,-1385
2017-12-24,2089,727,800.56925272,-842.0869025,2296.0869025,1362
2017-12-31,3639,3097,800.56925272,1527.9130975,4666.0869025,542
