Date,Close,FORECAST,STD,L95,U95,RESIDUAL,,
,,,,,,,,
01-Jan-16,2043.939941,,,,,,,
02-Jan-16,2043.939941,2043.950345,29.76616465,1985.609735,2102.290956,-0.01040417,,
03-Jan-16,2043.939941,2043.955412,25.99786706,1993.000529,2094.910295,-0.015470976,,
04-Jan-16,2012.660034,2021.89917,25.41496376,1972.086756,2071.711584,-9.239136014,,
05-Jan-16,2016.709961,1994.496258,24.76358057,1945.960532,2043.031984,22.2137032,,
06-Jan-16,1990.26001,1999.438566,24.4259758,1951.564533,2047.312599,-9.178556015,,
07-Jan-16,1943.089966,1972.31453,24.15430638,1924.972959,2019.6561,-29.22456377,,
08-Jan-16,1922.030029,1921.951064,23.95975348,1874.99081,1968.911318,0.078964747,,
09-Jan-16,1922.030029,1923.738347,23.80495288,1877.081497,1970.395197,-1.708318128,,
10-Jan-16,1922.030029,1926.184768,23.68196024,1879.768979,1972.600557,-4.154739145,,
11-Jan-16,1923.670044,1905.280116,23.58083288,1859.062533,1951.497699,18.38992788,,
12-Jan-16,1938.680054,1912.178073,23.49658097,1866.12562,1958.230525,26.50198124,,
13-Jan-16,1890.280029,1931.200071,23.42517722,1885.287567,1977.112575,-40.9200418,,
14-Jan-16,1921.839966,1871.624175,23.36393461,1825.831705,1917.416645,50.21579096,,
15-Jan-16,1880.329956,1904.002346,23.31081214,1858.313994,1949.690698,-23.67239008,,
16-Jan-16,1880.329956,1905.314005,23.26430038,1859.716815,1950.911196,-24.98404933,,
17-Jan-16,1880.329956,1890.578804,23.22323547,1845.062099,1936.095509,-10.24884757,,
18-Jan-16,1880.329956,1894.947174,23.18671405,1849.50205,1940.392299,-14.61721841,,
19-Jan-16,1881.329956,1864.735957,23.15402125,1819.354909,1910.117005,16.59399882,,
20-Jan-16,1859.329956,1858.408379,23.124585,1813.085026,1903.731733,0.921576568,,
21-Jan-16,1868.98999,1845.828554,23.09794173,1800.55742,1891.099688,23.16143604,,
22-Jan-16,1906.900024,1863.863168,23.07371189,1818.639523,1909.086812,43.03685639,,
23-Jan-16,1906.900024,1873.195898,23.05158173,1828.015628,1918.376168,33.70412641,,
24-Jan-16,1906.900024,1875.950073,23.03128963,1830.809575,1921.090571,30.94995117,,
25-Jan-16,1877.079956,1905.161567,23.0126157,1860.057669,1950.265465,-28.08161123,,
26-Jan-16,1903.630005,1868.138154,22.9953738,1823.06805,1913.208259,35.49185061,,
27-Jan-16,1882.949951,1893.706279,22.97940526,1848.667472,1938.745085,-10.75632752,,
28-Jan-16,1893.359985,1879.03232,22.96457404,1834.022582,1924.042058,14.32766507,,
29-Jan-16,1940.23999,1883.286729,22.9507628,1838.304061,1928.269398,56.95326105,,
30-Jan-16,1940.23999,1898.032604,22.93786981,1853.075205,1942.990003,42.20738625,,
31-Jan-16,1940.23999,1901.695869,22.92580645,1856.762114,1946.629624,38.54412145,,
01-Feb-16,1939.380005,1944.369044,22.91449511,1899.457459,1989.280629,-4.989039115,,
02-Feb-16,1903.030029,1936.186618,22.90386762,1891.295862,1981.077374,-33.15658883,,
03-Feb-16,1912.530029,1896.457817,22.89386376,1851.586669,1941.328966,16.07221182,,
04-Feb-16,1915.449951,1904.923612,22.8844302,1860.070953,1949.776271,10.52633945,,
05-Feb-16,1880.050049,1911.949931,22.87551953,1867.114736,1956.785125,-31.89988166,,
06-Feb-16,1880.050049,1903.095691,22.86708945,1858.277019,1947.914363,-23.04564186,,
07-Feb-16,1880.050049,1898.676728,22.85910208,1853.873711,1943.479744,-18.62667854,,
08-Feb-16,1853.439941,1860.393995,22.85152346,1815.605832,1905.182158,-6.954053803,,
09-Feb-16,1852.209961,1837.233514,22.84432298,1792.459464,1882.007564,14.97644712,,
10-Feb-16,1851.859985,1851.519746,22.83747304,1806.759122,1896.280371,0.340238559,,
11-Feb-16,1829.079956,1842.484113,22.83094863,1797.736276,1887.23195,-13.40415732,,
