Date,Close,FORECAST,STD,L95,U95,RESIDUAL
,,,,,,
01JAN2016,2043.939941,,,,,
02JAN2016,2043.939941,2044.6714225,26.998396787,1991.7555371,2097.5873078,-0.731481479
03JAN2016,2043.939941,2044.7842102,26.675525612,1992.5011407,2097.0672796,-0.844269159
04JAN2016,2012.660034,2044.8047713,26.667613714,1992.5372089,2097.0723337,-32.14473732
05JAN2016,2016.709961,2018.4716575,26.66741113,1966.2044921,2070.7388228,-1.76169645
06JAN2016,1990.26001,2017.7198645,26.66741113,1965.4526992,2069.9870299,-27.45985454
07JAN2016,1943.089966,1995.3313023,26.66741113,1943.0641369,2047.5984677,-52.24133631
08JAN2016,1922.030029,1952.0777737,26.66741113,1899.8106083,2004.3449391,-30.0477447
09JAN2016,1922.030029,1927.5103167,26.66741113,1875.2431513,1979.7774821,-5.48028769
10JAN2016,1922.030029,1923.6276262,26.66741113,1871.3604608,1975.8947916,-1.597597205
11JAN2016,1923.670044,1923.013998,26.66741113,1870.7468326,1975.2811633,0.6560460348
12JAN2016,1938.680054,1924.2978426,26.66741113,1872.0306773,1976.565008,14.38221136
13JAN2016,1890.280029,1937.1385418,26.66741113,1884.8713764,1989.4057071,-46.85851277
14JAN2016,1921.839966,1898.4171244,26.66741113,1846.149959,1950.6842898,23.422841598
15JAN2016,1880.329956,1918.8696543,26.66741113,1866.6024889,1971.1368197,-38.53969832
16JAN2016,1880.329956,1887.1523292,26.66741113,1834.8851638,1939.4194946,-6.822373178
17JAN2016,1880.329956,1882.1396591,26.66741113,1829.8724937,1934.4068245,-1.809703104
18JAN2016,1880.329956,1881.3474466,26.66741113,1829.0802812,1933.614612,-1.01749061
19JAN2016,1881.329956,1881.2222437,26.66741113,1828.9550784,1933.4894091,0.1077122519
20JAN2016,1859.329956,1882.0444144,26.66741113,1829.777249,1934.3115798,-22.71445842
21JAN2016,1868.98999,1863.6512763,26.66741113,1811.384111,1915.9184417,5.3387136731
22JAN2016,1906.900024,1868.8777304,26.66741113,1816.610565,1921.1448958,38.022293604
23JAN2016,1906.900024,1901.6223855,26.66741113,1849.3552201,1953.8895508,5.2776385348
24JAN2016,1906.900024,1906.7974168,26.66741113,1854.5302515,1959.0645822,0.102607166
25JAN2016,1877.079956,1907.6152892,26.66741113,1855.3481239,1959.8824546,-30.53533324
26JAN2016,1903.630005,1882.6373032,26.66741113,1830.3701378,1934.9044685,20.992701834
27JAN2016,1882.949951,1901.0437575,26.66741113,1848.7765921,1953.3109229,-18.09380652
28JAN2016,1893.359985,1886.5410142,26.66741113,1834.2738488,1938.8081796,6.8189708245
29JAN2016,1940.23999,1893.0137826,26.66741113,1840.7466172,1945.2809479,47.226207432
30JAN2016,1940.23999,1933.5077463,26.66741113,1881.240581,1985.7749117,6.7322436504
31JAN2016,1940.23999,1939.9074941,26.66741113,1887.6403287,1992.1746595,0.332495894
01FEB2016,1939.380005,1940.9189232,26.66741113,1888.6517578,1993.1860885,-1.538918157
02FEB2016,1903.030029,1940.3547002,26.66741113,1888.0875348,1992.6218656,-37.32467121
03FEB2016,1912.530029,1909.6603768,26.66741113,1857.3932115,1961.9275422,2.8696521586
04FEB2016,1915.449951,1912.8079849,26.66741113,1860.5408195,1965.0751502,2.6419661396
05FEB2016,1880.050049,1915.7638908,26.66741113,1863.4967254,1968.0310562,-35.71384182
06FEB2016,1880.050049,1886.4258181,26.66741113,1834.1586527,1938.6929835,-6.375769114
07FEB2016,1880.050049,1881.7891699,26.66741113,1829.5220045,1934.0563353,-1.739120896
08FEB2016,1853.439941,1881.0563847,26.66741113,1828.7892193,1933.32355,-27.61644365
09FEB2016,1852.209961,1858.535981,26.66741113,1806.2688156,1910.8031463,-6.326019967
10FEB2016,1851.859985,1853.9412194,26.66741113,1801.6740541,1906.2083848,-2.081234441
11FEB2016,1829.079956,1852.920389,26.66741113,1800.6532236,1905.1875543,-23.84043297
12FEB2016,1864.780029,1833.5792276,26.66741113,1781.3120622,1885.846393,31.200801382
13FEB2016,1864.780029,1860.5804729,26.66741113,1808.3133075,1912.8476382,4.1995561377
14FEB2016,1864.780029,1864.8478042,26.66741113,1812.5806388,1917.1149695,-0.067775152
15FEB2016,1864.780029,1865.5222218,26.66741113,1813.2550564,1917.7893872,-0.742192801
16FEB2016,1895.579956,1865.6288081,26.66741113,1813.3616428,1917.8959735,29.951147873
17FEB2016,1926.819946,1891.5778976,26.66741113,1839.3107322,1943.845063,35.242048375
18FEB2016,1917.829956,1921.981703,26.66741113,1869.7145377,1974.2488684,-4.151747032
19FEB2016,1917.780029,1919.217588,26.66741113,1866.9504226,1971.4847533,-1.437558958
20FEB2016,1917.780029,1918.7387052,26.66741113,1866.4715398,1971.0058706,-0.958676198
21FEB2016,1917.780029,1918.6630216,26.66741113,1866.3958562,1970.930187,-0.8829926
22FEB2016,1945.5,1918.6510604,26.66741113,1866.383895,1970.9182258,26.848939589
23FEB2016,1921.27002,1941.9882209,26.66741113,1889.7210555,1994.2553863,-20.71820088
24FEB2016,1929.800049,1925.2758478,26.66741113,1873.0086824,1977.5430131,4.5242012425
25FEB2016,1951.699951,1929.8165166,26.66741113,1877.5493512,1982.083682,21.883434416
26FEB2016,1948.050049,1948.9729303,26.66741113,1896.705765,2001.2400957,-0.922881341
27FEB2016,1948.050049,1948.9273845,26.66741113,1896.6602191,2001.1945499,-0.877335508
28FEB2016,1948.050049,1948.9201864,26.66741113,1896.653021,2001.1873517,-0.870137353
