Date,Date2,FORECAST,STD,L95,U95,RESIDUAL
,,,,,,
01JAN2016,01JAN2016,0,1411.318424,-2766.133282,2766.1332817,20454
02JAN2016,02JAN2016,48950.36635,1411.318424,46184.233068,51716.499631,-28495.36635
03JAN2016,03JAN2016,9071.7105952,1411.318424,6305.5773135,11837.843877,11384.289405
04JAN2016,04JAN2016,11711.998262,1411.318424,8945.8649798,14478.131543,8745.0017384
05JAN2016,05JAN2016,21693.87267,1411.318424,18927.739388,24460.005951,-1235.87267
06JAN2016,06JAN2016,24026.390339,1411.318424,21260.257057,26792.52362,-3567.390339
07JAN2016,07JAN2016,20294.555262,1411.318424,17528.421981,23060.688544,165.44473771
08JAN2016,08JAN2016,17153.541204,1411.318424,14387.407922,19919.674486,3307.4587962
09JAN2016,09JAN2016,17713.336067,1411.318424,14947.202785,20479.469349,2748.6639329
10JAN2016,10JAN2016,21280.371455,1411.318424,18514.238173,24046.504737,-817.3714548
11JAN2016,11JAN2016,15661.94626,1411.318424,12895.812978,18428.079541,4802.0537403
12JAN2016,12JAN2016,28730.642594,1411.318424,25964.509313,31496.775876,-8265.642594
13JAN2016,13JAN2016,14770.825277,1411.318424,12004.691995,17536.958559,5695.1747228
14JAN2016,14JAN2016,14496.724767,1411.318424,11730.591485,17262.858048,5970.2752335
15JAN2016,15JAN2016,22513.504348,1411.318424,19747.371066,25279.637629,-2045.504348
16JAN2016,16JAN2016,23321.562321,1411.318424,20555.429039,26087.695603,-2852.562321
17JAN2016,17JAN2016,18420.413316,1411.318424,15654.280035,21186.546598,2049.5866836
18JAN2016,18JAN2016,16484.818138,1411.318424,13718.684856,19250.95142,3986.181862
19JAN2016,19JAN2016,19078.217805,1411.318424,16312.084523,21844.351086,1393.7821954
20JAN2016,20JAN2016,22099.92805,1411.318424,19333.794768,24866.061332,-1626.92805
21JAN2016,21JAN2016,19003.004342,1411.318424,16236.87106,21769.137624,1470.9956581
22JAN2016,22JAN2016,20966.960156,1411.318424,18200.826875,23733.093438,-491.9601563
23JAN2016,23JAN2016,16975.196958,1411.318424,14209.063676,19741.33024,3500.8030422
24JAN2016,24JAN2016,18152.546392,1411.318424,15386.413111,20918.679674,2324.4536077
25JAN2016,25JAN2016,22150.236771,1411.318424,19384.10349,24916.370053,-1672.236771
26JAN2016,26JAN2016,21047.684307,1411.318424,18281.551025,23813.817589,-568.6843068
27JAN2016,27JAN2016,17569.031815,1411.318424,14802.898533,20335.165097,2910.9681852
